Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
B,C,199129,HDFQUALINAV,,XX,0,INAVHDFCQUALETF,0.01,1,0,1,HDFQUALINAV,N,INF179KC1DL6,HDFQUALINAV_EQ,EQ
B,C,199133,HDFCLOLINAV,,XX,0,INAVHDFCLOWVOL,0.01,1,0,1,HDFCLOLINAV,N,INF179KC1DN2,HDFCLOLINAV_EQ,EQ
B,C,199134,HDFCBANINAV,,XX,0,INAVHDFCPVTBAN,0.01,1,0,1,HDFCBANINAV,N,INF179KC1DW3,HDFCBANINAV_EQ,EQ
B,C,199135,HDFCNITINAV,,XX,0,INAVHDFCNIFIT,0.01,1,0,1,HDFCNITINAV,N,INF179KC1DX1,HDFCNITINAV_EQ,EQ
B,C,200072,MCL,,XX,0,MADHAV COPPER LIMITED,0.01,1,0,1,MCL,N,INE813V01022,MCL_EQ,EQ
B,C,200105,RKEC,,XX,0,RKEC PROJECTS LIMITED,0.01,1,0,1,RKEC,N,INE786W01010,RKEC_EQ,EQ
B,C,200184,AMJUMBO,,XX,0,A AND M JUMBO BAGS LTD,0.05,8000,0,1,AMJUMBO,N,INE749Y01014,AMJUMBO_EQ,EQ
B,C,200223,SMVD,,XX,0,SMVD POLY PACK LIMITED,0.05,4040,0,1,SMVD,N,INE702Y01013,SMVD_EQ,EQ
B,C,540080,DHATRE,,XX,0,DHATRE UDYOG LIMITED,0.01,1,0,1,DHATRE,N,INE715T01031,DHATRE_X ,X 
B,C,540081,SABEVENTS,,XX,0,SAB EVENTS & GOVERNANCE NOW ME,0.01,1,0,1,SABEVENTS,N,INE860T01019,SABEVENTS_BE,BE
B,C,540082,RSTL,,XX,0,RIDDHI STEEL AND TUBE LIMITED,0.05,1500,0,1,RSTL,N,INE367U01013,RSTL_MT,MT
B,C,540083,TVVISION,,XX,0,TV VISION LIMITED,0.01,1,0,1,TVVISION,N,INE871L01013,TVVISION_EQ,EQ
B,C,540097,GAMCO,,XX,0,GAMCO LIMITED,0.01,1,0,1,GAMCO,N,INE890S01026,GAMCO_X ,X
