Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
M,D,204262,CARDAMOM 01 JAN 2038,2038-01-01,XX,0,EX VANDANMEDU,0.25,500,5000,500,CARDAMOM,Y,,CARDAMOM 01 JAN 2038_20380101,  
M,D,204439,CORIANDER 01 JAN 2038,2038-01-01,XX,0,EX - KOTA MANDI,1,10,80,100,CORIANDER,Y,,CORIANDER 01 JAN 2038_20380101,  
M,D,204532,MENTHAOIL 01 JAN 2038,2038-01-01,XX,0,EX - CHANDAUSI,0.1,360,18000,360,MENTHAOIL,Y,,MENTHAOIL 01 JAN 2038_20380101,  
M,D,204729,CHANADEL 01 JAN 2038,2038-01-01,XX,0,EX - DELHI,1,10,500,100,CHANADEL,Y,,CHANADEL 01 JAN 2038_20380101,  
M,D,204855,WHEAT 01 JAN 2038,2038-01-01,XX,0,WHEAT EX-DELHI,0.1,10,500,100,WHEAT,Y,,WHEAT 01 JAN 2038_20380101,  
M,D,204932,STEELGZB 01 JAN 2038,2038-01-01,XX,0,EX WAREHOUSE GHAZIABAD,10,10,300,10,STEELGZB,Y,,STEELGZB 01 JAN 2038_20380101,  
M,D,205181,SOYABEAN 01 JAN 2038,2038-01-01,XX,0,EX - INDORE,0.5,10,500,100,SOYABEAN,Y,,SOYABEAN 01 JAN 2038_20380101,  
M,D,215249,NICKELAUC 01 JAN 2038,2038-01-01,XX,0,EX-WAREHOUSETHANEDIST.,0.1,1500,24000,1500,NICKELAUC,Y,,NICKELAUC 01 JAN 2038_20380101,  
M,D,448166,KAPAS 27 FEB 2026,2026-02-27,XX,0,EX WAREHOUSE RAJKOT,0.5,4,200,200,KAPAS,Y,,KAPAS 27 FEB 2026_20260227,  
M,D,449534,GOLD 05 FEB 2026,2026-02-05,XX,0,GOLD 995 EX AHMEDABAD,1,1,10,100,GOLD,Y,,GOLD 05 FEB 2026_20260205,  
M,D,449535,GOLD 27 JAN 2026 CE 88600.00,2026-01-27,CE,88600,GOLD 995,0.5,1,100,100,GOLD,Y,,GOLD 27 JAN 2026 CE 88600.00_20260127_CE_88600,  
M,D,449536,GOLD 27 JAN 2026 PE 88600.00,2026-01-27,PE,88600,GOLD 995,0.5,1,100,100,GOLD,Y,,GOLD 27 JAN 2026 PE 88600.00_20260127_PE_88600,  
M,D,449537,GOLD 31 DEC 2025 CE 88600.00,2025-12-31,CE,88600,GOLD 995 EX AHMEDABAD,0.5,1,100,100,GOLD,Y,,GOLD 31 DEC 2025 CE 88600.00_20251231_CE_88600,  
M,D,449538,GOLD 31 DEC 2025 PE 88600.00,2025-12-31,PE,88600,GOLD 995 EX AHMEDABAD,0.5,1,100,100,GOLD,Y,,GOLD 31 DEC 2025 PE 88600.00_20251231_PE_88600, 
