Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,U,1001,EURINR 09 JAN 2026 CE 108.2500,2026-01-09,CE,108.25,EURINR 09 JAN 2026 CE 108.2500,0.0025,1,0,1,EURINR,N,EURINR,EURINR 09 JAN 2026 CE 108.2500_20260109_CE_108.25,XX
N,U,1002,USDINR 12 DEC 2025 CE 94.2500,2025-12-12,CE,94.25,USDINR 12 DEC 2025 CE 94.2500,0.0025,1,0,1,USDINR,N,USDINR,USDINR 12 DEC 2025 CE 94.2500_20251212_CE_94.25,XX
N,U,1003,USDINR 12 DEC 2025 PE 94.2500,2025-12-12,PE,94.25,USDINR 12 DEC 2025 PE 94.2500,0.0025,1,0,1,USDINR,N,USDINR,USDINR 12 DEC 2025 PE 94.2500_20251212_PE_94.25,XX
N,U,1004,91DTB 25 MAR 2026,2026-03-25,XX,0,91DTB 25 MAR 2026,0.0025,1,0,1,91DTB,N,91DTB,91DTB 25 MAR 2026_20260325,XX
N,U,1005,EURINR 16 JAN 2026,2026-01-16,XX,0,EURINR 16 JAN 2026,0.0025,1,0,1,EURINR,N,EURINR,EURINR 16 JAN 2026_20260116,XX
N,U,1006,EURINR 09 JAN 2026 PE 108.2500,2026-01-09,PE,108.25,EURINR 09 JAN 2026 PE 108.2500,0.0025,1,0,1,EURINR,N,EURINR,EURINR 09 JAN 2026 PE 108.2500_20260109_PE_108.25,XX
N,U,1007,EURINR 25 FEB 2026,2026-02-25,XX,0,EURINR 25 FEB 2026,0.0025,1,0,1,EURINR,N,EURINR,EURINR 25 FEB 2026_20260225,XX
N,U,1011,USDINR 20 FEB 2026 CE 90.8750,2026-02-20,CE,90.875,USDINR 20 FEB 2026 CE 90.8750,0.0025,1,0,1,USDINR,N,USDINR,USDINR 20 FEB 2026 CE 90.8750_20260220_CE_90.875,XX
N,U,1012,EURINR 19 DEC 2025,2025-12-19,XX,0,EURINR 19 DEC 2025,0.0025,1,0,1,EURINR,N,EURINR,EURINR 19 DEC 2025_20251219,XX
N,U,1013,EURUSD 25 FEB 2026,2026-02-25,XX,0,EURUSD 25 FEB 2026,0.0001,1,0,1,EURUSD,N,EURUSD,EURUSD 25 FEB 2026_20260225,XX
