Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35000,BANKNIFTY 30 DEC 2025 CE 69700.00,2025-12-30,CE,69700,BANKNIFTY 30 DEC 2025 CE 69700.00,0.05,35,595,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 30 DEC 2025 CE 69700.00_20251230_CE_69700,XX
N,D,35001,BANKNIFTY 30 DEC 2025 PE 69700.00,2025-12-30,PE,69700,BANKNIFTY 30 DEC 2025 PE 69700.00,0.05,35,595,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 30 DEC 2025 PE 69700.00_20251230_PE_69700,XX
N,D,35011,BANKNIFTY 27 JAN 2026 CE 74400.00,2026-01-27,CE,74400,BANKNIFTY 27 JAN 2026 CE 74400.00,0.05,30,600,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 JAN 2026 CE 74400.00_20260127_CE_74400,XX
N,D,35012,BANKNIFTY 27 JAN 2026 PE 74400.00,2026-01-27,PE,74400,BANKNIFTY 27 JAN 2026 PE 74400.00,0.05,30,600,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 JAN 2026 PE 74400.00_20260127_PE_74400,XX
N,D,35013,BANKNIFTY 24 FEB 2026 CE 73900.00,2026-02-24,CE,73900,BANKNIFTY 24 FEB 2026 CE 73900.00,0.05,30,600,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 FEB 2026 CE 73900.00_20260224_CE_73900,XX
N,D,35014,BANKNIFTY 24 FEB 2026 PE 73900.00,2026-02-24,PE,73900,BANKNIFTY 24 FEB 2026 PE 73900.00,0.05,30,600,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 FEB 2026 PE 73900.00_20260224_PE_73900,XX
N,D,36352,KFINTECH 27 JAN 2026 CE 760.00,2026-01-27,CE,760,KFINTECH 27 JAN 2026 CE 760.00,0.05,500,20000,1,KFINTECH,N,INE138Y01010,KFINTECH 27 JAN 2026 CE 760.00_20260127_CE_760,XX
N,D,36353,KFINTECH 27 JAN 2026 PE 760.00,2026-01-27,PE,760,KFINTECH 27 JAN 2026 PE 760.00,0.05,500,20000,1,KFINTECH,N,INE138Y01010,KFINTECH 27 JAN 2026 PE 760.00_20260127_PE_760,XX
N,D,36354,HDFCAMC 27 JAN 2026 CE 2480.00,2026-01-27,CE,2480,HDFCAMC 27 JAN 2026 CE 2480.00,0.05,300,9000,1,HDFCAMC,N,INE127D01025,HDFCAMC 27 JAN 2026 CE 2480.00_20260127_CE_2480,XX
N,D,36355,HDFCAMC 27 JAN 2026 PE 2480.00,2026-01-27,PE,2480,HDFCAMC 27 JAN 2026 PE 2480.00,0.05,300,9000,1,HDFCAMC,N,INE127D01025,HDFCAMC 27 JAN 2026 PE 2480.00_20260127_PE_2480,XX
